run_id,generation,best_distance
1,0,24112
1,20,14522
1,40,12720
1,60,11803
1,80,11444
1,100,11036
1,120,10786
1,140,10758
1,160,10607
1,180,10578
1,200,10498
1,220,10436
1,240,10235
1,260,10171
1,280,9940
1,300,9940
1,320,9940
1,340,9940
1,360,9940
1,380,9940
2,0,24205
2,20,14258
2,40,11421
2,60,10418
2,80,9568
2,100,9146
2,120,9096
2,140,9096
2,160,9096
2,180,9096
2,200,8996
2,220,8996
2,240,8996
2,260,8996
2,280,8996
2,300,8991
2,320,8991
2,340,8991
2,360,8991
2,380,8991
3,0,24045
3,20,16478
3,40,12670
3,60,11222
3,80,10187
3,100,9493
3,120,9439
3,140,8940
3,160,8866
3,180,8861
3,200,8861
3,220,8861
3,240,8861
3,260,8861
3,280,8861
3,300,8861
3,320,8861
3,340,8861
3,360,8861
3,380,8861
4,0,23560
4,20,14791
4,40,11010
4,60,10259
4,80,9542
4,100,9374
4,120,9336
4,140,9336
4,160,9336
4,180,9336
4,200,9336
4,220,9336
4,240,9336
4,260,9336
4,280,9268
4,300,9265
4,320,9181
4,340,9165
4,360,9165
4,380,9165
5,0,23796
5,20,15981
5,40,13084
5,60,11937
5,80,10911
5,100,10220
5,120,10144
5,140,10098
5,160,9894
5,180,9894
5,200,9894
5,220,9894
5,240,9894
5,260,9894
5,280,9894
5,300,9894
5,320,9894
5,340,9894
5,360,9894
5,380,9894
